task,category,IoU,PixP,PixR,PixF1,evaluated_images,zero_prediction_images
fine-grained,low-level-edge_shape,0.99557362990013,0.99557362990013,1.0,0.9977819058973576,25,0
fine-grained,low-level-texture,0.9879020901029646,0.9879020901029646,1.0,0.9939142325181575,25,0
fine-grained,low-level-color,0.9664441846199018,0.9664441846199018,1.0,0.98293579057949,25,0
fine-grained,low-level-symbol,0.9510051597691118,0.9510051597691118,1.0,0.9748873856198892,25,0
fine-grained,high-level-semantics,0.9898965341954957,0.9898965341954957,1.0,0.9949226175176042,25,0
fine-grained,cognitive-level-commonsense,0.6448193573450247,0.6448193573450247,1.0,0.7840610027667184,25,0
fine-grained,cognitive-level-physics,0.9871022349408517,0.9871022349408517,1.0,0.99350925944707,25,0
