generator,task,category,IoU,PixP,PixR,PixF1,evaluated_images,zero_prediction_images
Lumina_Next-raw,category-agnostic,all,0.997594767115205,0.997594767115205,1.0,0.998795935529873,5,0
PA_alpha-raw,category-agnostic,all,0.9987249383139102,0.9987249383139102,1.0,0.9993620624520924,5,0
SD_1.4-raw,category-agnostic,all,0.9970288043490876,0.9970288043490876,1.0,0.9985121918900509,5,0
SD_1.5_realistic_vision-raw,category-agnostic,all,0.9983020179455478,0.9983020179455478,1.0,0.9991502875745489,5,0
SD_3-raw,category-agnostic,all,0.997320415503071,0.997320415503071,1.0,0.9986584103000549,5,0
